Time(s)	T1(Deg C)	T2(Deg C)	P1(PSI)	P2(PSI)	Mass Flowrate(g/min)

0.00	25.60	25.80	23.80	24.40	0.00
0.10	25.70	25.70	24.40	24.80	0.00
0.20	25.70	25.80	24.90	24.40	0.00
0.30	25.70	25.80	24.70	24.40	0.00
0.40	25.80	25.80	24.40	25.00	0.00
0.50	25.70	25.80	24.60	24.40	0.00
0.60	25.70	25.80	24.30	24.40	0.00
0.70	25.80	25.90	24.70	24.50	0.00
0.80	25.90	25.90	24.90	24.70	0.00
0.90	25.90	25.90	24.90	24.70	0.00
1.00	25.70	25.70	24.60	25.00	0.00
1.10	25.60	25.60	24.40	24.40	0.00
1.20	25.60	25.60	24.70	24.40	0.00
1.30	25.70	25.80	24.70	24.70	0.00
1.40	25.70	25.80	25.00	24.20	0.00
1.50	25.60	25.90	24.10	25.00	0.00
1.60	25.70	25.80	24.60	24.20	0.00
1.70	25.70	25.80	25.20	24.20	0.00
1.80	25.50	25.80	25.20	24.20	0.00
1.90	25.80	25.90	24.70	24.10	0.00
2.00	25.80	25.90	24.70	24.70	0.00
2.10	25.70	25.90	24.60	24.40	0.00
2.20	25.70	25.70	24.90	24.80	0.00
2.30	25.70	25.70	24.70	24.40	0.00
2.40	25.70	25.80	24.60	24.50	0.00
2.50	25.80	25.80	24.70	24.50	0.00
2.60	25.80	25.80	24.70	24.40	0.00
2.70	25.70	25.80	24.70	24.40	0.00
2.80	25.70	25.80	24.60	24.70	0.00
2.90	25.70	25.80	24.90	24.70	0.00
3.00	25.70	25.80	24.90	24.70	0.00
3.10	25.70	25.70	24.60	24.70	0.00
3.20	25.70	25.70	24.40	24.70	0.00
3.30	25.60	25.80	24.30	24.40	0.00
3.40	25.70	25.80	24.70	24.80	0.00
3.50	25.70	25.80	24.70	24.50	0.00
3.60	25.70	25.90	24.70	24.50	0.00
3.70	25.60	25.80	24.90	24.50	0.00
3.80	25.60	25.80	24.90	24.50	0.00
3.90	25.80	25.80	24.40	24.50	0.00
4.00	25.60	25.80	24.70	23.80	0.00
4.10	25.60	25.80	24.70	24.20	0.00
4.20	25.70	25.80	24.90	24.80	0.00
4.30	25.60	25.70	24.70	24.50	0.00
4.40	25.60	25.70	24.40	24.20	0.00
4.50	25.70	25.90	24.40	24.20	0.00
4.60	25.70	25.80	24.40	24.70	0.00
4.70	25.70	25.80	24.40	24.80	0.00
4.80	25.80	25.90	24.60	24.50	0.00
4.90	25.70	25.80	24.40	24.40	0.00
5.00	25.70	25.80	24.60	24.70	0.00
5.10	25.90	25.80	24.70	24.70	0.00
5.20	25.80	25.70	24.10	24.50	0.00
5.30	25.80	25.70	24.40	24.50	0.00
5.40	25.80	25.80	24.40	24.50	0.00
5.50	25.60	25.80	24.40	24.70	0.00
5.60	25.60	25.80	24.90	24.70	0.00
5.70	25.90	25.80	24.90	24.70	0.00
5.80	25.70	25.80	24.90	24.50	0.00
5.90	25.70	25.80	24.60	24.50	0.00
6.00	25.70	25.80	24.60	24.40	0.00
6.10	25.70	25.80	24.10	24.50	0.00
6.20	25.70	25.80	24.90	24.40	0.00
6.30	25.80	25.80	24.90	24.40	0.00
6.40	25.90	25.90	24.40	24.70	0.00
6.50	25.90	25.90	24.60	24.50	0.00
6.60	25.80	25.80	24.70	24.80	0.00
6.70	25.80	25.80	24.70	24.40	0.00
6.80	25.80	25.80	25.00	24.70	0.00
6.90	25.60	25.80	24.60	24.80	0.00
7.00	25.70	25.70	24.60	24.20	0.00
7.10	25.70	25.70	24.60	25.00	0.00
7.20	25.80	25.80	24.60	25.00	0.00
7.30	25.80	25.90	24.90	24.40	0.00
7.40	25.80	25.90	24.60	24.50	0.00
7.50	25.70	25.80	24.90	24.70	0.00
7.60	25.60	25.80	25.00	24.50	0.00
7.70	25.60	25.80	24.70	24.80	0.00
7.80	25.60	25.60	24.90	24.40	0.00
7.90	25.70	25.80	24.70	24.50	0.00
8.00	25.80	25.80	24.90	24.20	0.00
8.10	25.80	25.80	24.40	24.80	0.00
8.20	25.70	25.90	24.40	24.50	0.00
8.30	25.60	25.60	24.70	24.80	0.00
8.40	25.60	25.60	24.70	24.70	0.00
8.50	25.80	25.90	24.40	24.80	0.00
8.60	25.70	25.70	24.70	24.40	0.00
8.70	25.70	25.70	24.70	24.40	0.00
8.80	25.70	25.80	24.90	24.40	0.00
8.90	25.70	25.90	24.90	24.40	0.00
9.00	25.70	25.90	24.60	24.70	0.00
9.10	25.70	25.80	24.70	24.70	0.00
9.20	25.70	25.80	24.70	24.70	0.00
9.30	25.70	25.80	24.60	24.50	0.00
9.40	25.60	25.70	24.30	24.40	0.00
9.50	25.80	25.80	24.40	24.50	0.00
9.60	25.80	25.80	24.60	24.40	0.00
9.70	25.60	25.70	24.90	24.50	0.00
9.80	25.60	25.80	24.90	24.50	0.00
9.90	25.60	25.80	24.70	24.50	0.00
10.00	25.70	25.80	24.70	24.70	0.00
10.10	25.60	25.70	24.70	24.50	0.00
10.20	25.60	25.70	24.60	24.40	0.00
10.30	25.80	25.90	24.90	24.50	0.00
10.40	25.80	25.80	24.70	24.50	0.00
10.50	25.80	25.80	24.90	24.40	0.00
10.60	25.80	25.80	24.60	24.80	0.00
10.70	25.80	25.80	24.70	24.50	0.00
10.80	25.80	25.80	24.60	23.80	0.00
10.90	25.80	25.80	24.40	24.70	0.00
11.00	25.80	25.80	24.70	24.20	0.00
11.10	25.80	25.80	25.00	24.40	0.00
11.20	25.70	25.80	24.90	24.50	0.00
11.30	25.80	25.80	24.70	24.70	0.00
11.40	25.80	25.80	25.00	24.20	0.00
11.50	25.80	25.80	24.40	24.10	0.00
11.60	25.70	25.70	24.40	24.10	0.00
11.70	25.70	25.70	24.60	24.50	0.00
11.80	25.80	25.90	24.70	24.40	0.00
11.90	25.80	25.80	24.70	24.50	0.00
12.00	25.80	25.80	25.00	24.40	0.00
12.10	25.70	25.80	24.70	24.40	0.00
12.20	25.60	25.70	24.70	24.70	0.00
12.30	25.60	25.70	24.30	24.20	0.00
12.40	25.70	25.80	24.40	24.50	0.00
12.50	25.80	25.80	24.40	24.50	0.00
12.60	25.80	25.80	24.60	24.40	0.00
12.70	25.70	25.70	24.40	24.40	0.00
12.80	25.70	25.70	24.70	24.40	0.00
12.90	25.70	25.70	24.60	24.50	0.00
13.00	25.70	25.80	24.70	24.50	0.00
13.10	25.70	25.80	24.90	24.50	0.00
13.20	25.70	25.80	25.30	24.40	0.00
13.30	25.80	25.80	24.90	24.70	0.00
13.40	26.00	25.90	24.90	24.70	0.00
13.50	26.00	25.90	24.70	24.80	0.00
13.60	25.60	25.80	24.70	24.70	0.00
13.70	25.70	25.70	24.60	24.50	0.00
13.80	25.70	25.70	24.70	25.00	0.00
13.90	25.80	25.70	24.70	24.50	0.00
14.00	25.70	25.80	24.70	24.80	0.00
14.10	25.70	25.80	24.10	24.40	0.00
14.20	25.70	25.80	24.90	25.00	0.00
14.30	25.70	25.70	24.90	25.00	0.00
14.40	25.70	25.70	24.70	24.20	0.00
14.50	25.80	25.80	24.90	24.50	0.00
14.60	25.70	25.80	24.70	24.50	0.00
14.70	25.70	25.80	24.60	24.50	0.00
14.80	25.60	25.80	24.60	24.50	0.00
14.90	25.80	25.90	24.90	24.70	0.00
15.00	25.80	25.90	24.60	23.60	0.00
15.10	25.60	25.70	24.70	24.70	0.00
15.20	25.70	25.80	24.70	24.70	0.00
15.30	25.70	25.80	24.70	24.50	0.00
15.40	25.60	25.80	24.90	24.50	0.00
15.50	25.70	25.80	24.70	24.20	0.00
15.60	25.70	25.80	24.70	24.50	0.00
15.70	25.80	25.80	24.60	24.50	0.00
15.80	25.80	25.80	24.30	25.00	0.00
15.90	25.80	25.80	24.60	24.50	0.00
16.00	25.80	25.90	24.60	24.70	0.00
16.10	25.70	25.80	24.60	24.70	0.00
16.20	25.70	25.80	24.60	24.70	0.00
16.30	25.80	25.80	24.40	24.40	0.00
16.40	25.70	25.80	24.90	24.50	0.00
16.50	25.70	25.80	24.60	24.50	0.00
16.60	25.50	25.80	24.60	24.40	0.00
16.70	25.80	25.70	24.70	24.20	0.00
16.80	25.80	25.70	24.70	24.40	0.00
16.90	25.90	25.90	24.70	24.20	0.00
17.00	25.70	25.80	24.70	24.20	0.00
17.10	25.70	25.80	24.10	24.70	0.00
17.20	25.70	25.70	24.40	24.70	0.00
17.30	25.70	25.70	26.70	24.50	0.00
17.40	25.10	25.70	26.60	24.70	0.00
17.50	26.00	25.80	26.60	24.40	0.00
17.60	26.00	25.80	26.60	24.40	0.00
17.70	26.10	25.70	26.40	24.70	0.00
17.80	26.30	25.90	26.30	24.80	0.00
17.90	26.30	25.90	26.30	24.80	0.00
18.00	26.40	25.70	26.70	24.50	0.00
18.10	26.50	25.80	26.40	24.50	0.00
18.20	26.50	25.80	26.30	24.70	0.00
18.30	26.50	25.80	26.60	24.50	0.00
18.40	26.40	25.80	26.30	24.70	0.00
18.50	26.40	25.80	26.40	24.50	0.00
18.60	26.50	25.90	26.30	24.70	0.00
18.70	26.40	25.70	26.40	24.20	0.00
18.80	26.40	25.70	26.40	24.20	0.00
18.90	26.30	25.70	26.10	24.70	0.00
19.00	26.40	25.80	26.30	24.40	0.00
19.10	26.30	25.80	26.60	23.50	0.00
19.20	26.30	25.80	26.40	24.70	0.00
19.30	26.30	25.80	26.30	24.80	0.00
19.40	26.30	25.80	26.70	24.50	0.00
19.50	26.50	25.80	26.40	24.70	0.00
19.60	26.40	25.90	26.60	24.40	0.00
19.70	26.40	25.90	26.60	24.40	0.00
19.80	26.10	25.70	26.60	24.40	0.00
19.90	26.30	25.80	25.80	24.20	0.00
20.00	26.30	25.80	25.90	24.20	0.00
20.10	26.30	25.80	26.40	24.80	0.00
20.20	26.10	25.70	26.40	24.50	0.00
20.30	26.10	25.80	26.40	24.50	0.00
20.40	26.10	25.80	26.40	24.70	0.00
20.50	26.00	25.70	26.40	24.50	0.00
20.60	26.00	25.70	26.40	24.50	0.00
20.70	26.00	25.80	26.10	24.50	0.00
20.80	26.20	25.80	25.90	24.20	0.01
20.90	26.20	25.80	26.30	24.20	0.11
21.00	26.00	25.80	27.00	24.40	30.06
21.10	26.10	25.60	26.90	24.10	36.96
21.20	26.10	25.60	26.10	24.40	44.96
21.30	26.10	25.70	26.70	24.70	49.50
21.40	26.20	25.80	26.70	24.70	51.35
21.50	26.20	25.80	27.00	24.50	51.92
21.60	26.40	25.80	27.30	24.40	51.85
21.70	26.60	25.80	27.50	24.70	51.66
21.80	26.60	25.80	27.50	24.40	51.49
21.90	26.70	25.70	27.90	24.10	51.36
22.00	26.70	25.70	27.60	24.40	51.15
22.10	26.80	25.70	28.60	24.50	51.02
22.20	26.90	25.90	28.40	24.40	50.89
22.30	26.90	25.90	28.40	24.70	50.34
22.40	26.90	25.70	28.90	23.90	49.59
22.50	27.00	25.70	28.70	24.20	49.44
22.60	27.00	25.70	29.00	24.70	49.38
22.70	27.20	25.90	29.00	24.70	49.29
22.80	27.50	25.80	29.30	24.40	49.22
22.90	27.50	25.80	29.20	24.70	49.14
23.00	27.50	25.80	29.60	24.50	49.06
23.10	27.50	25.80	29.50	24.40	48.99
23.20	27.50	25.70	29.50	24.40	48.92
23.30	27.60	25.80	30.00	24.40	48.89
23.40	27.60	25.80	30.00	24.40	48.79
23.50	27.70	25.80	30.10	24.70	49.24
23.60	27.90	25.90	30.30	24.50	49.82
23.70	27.90	25.90	30.30	24.40	50.32
23.80	27.90	25.80	30.60	24.70	50.60
23.90	28.00	25.90	30.70	24.80	50.65
24.00	28.00	25.90	31.00	24.20	50.59
24.10	27.80	25.80	31.00	24.20	50.57
24.20	28.10	25.70	31.20	24.70	50.49
24.30	28.10	25.70	31.60	24.10	50.40
24.40	28.00	25.80	31.50	24.50	50.36
24.50	28.20	25.80	31.50	24.50	50.30
