Object Tracking Data File Wed, Oct 15, 2025 11:39 AM
X (pixels)  	Y (pixels)  
684.58	565.39
682.85	559.22
686.62	564.05
688.61	562.07
689.34	564.26
691.12	560.12
687.66	554.18
691.48	553.44
690.51	550.16
693.11	548.81
692.52	554.52
691.10	552.09
687.62	552.28
689.25	555.13
687.79	552.18
688.01	545.43
683.39	544.80
684.44	546.05
683.51	547.73
680.37	551.11
681.87	557.93
686.93	556.41
690.67	559.29
691.81	557.55
692.67	560.86
698.20	557.95
695.67	560.12
694.24	561.62
694.34	561.54
687.00	562.84
685.41	562.16
683.42	558.86
687.94	558.33
687.12	556.78
688.73	552.03
687.75	553.79
689.62	554.87
689.00	557.96
693.56	561.33
686.91	558.88
687.10	560.24
690.65	559.97
682.74	555.02
679.32	558.45
677.03	558.82
672.87	561.36
678.48	563.09
679.57	570.73
676.47	574.71
670.72	574.83
668.62	575.76
664.70	571.98
663.85	570.84
659.40	573.89
661.23	575.76
664.65	574.25
659.87	576.38
659.23	574.52
663.18	573.77
670.58	575.19
672.95	577.77
674.64	578.16
673.60	575.48
671.98	581.32
668.70	581.97
667.94	579.00
663.56	574.72
664.12	573.95
667.64	573.03
662.05	574.03
659.01	577.49
657.59	584.76
661.49	590.22
662.37	590.16
664.05	589.32
662.92	592.89
669.17	602.01
670.02	597.40
669.71	598.41
669.07	599.49
669.55	603.76
670.77	603.18
670.07	598.71
674.39	595.17
675.65	594.70
680.31	592.66
678.50	598.67
678.38	599.15
677.67	599.69
684.58	598.10
695.01	593.18
695.69	598.77
694.97	602.59
699.87	603.31
699.44	605.94
697.22	608.07
693.78	608.40
690.58	606.88
692.10	608.31
687.44	607.08
688.89	597.88
694.99	598.35
690.22	592.27
690.24	596.79
695.84	594.49
693.44	591.13
698.31	586.64
694.47	585.85
697.90	587.41
702.27	578.83
706.69	576.46
710.73	580.99
712.03	582.94
717.07	588.21
715.72	588.45
717.29	589.23
718.62	585.75
722.50	586.26
716.55	582.18
716.78	581.09
