Object Tracking Data File Wed, Oct 15, 2025 11:41 AM
X (pixels)  	Y (pixels)  
908.50	219.94
911.67	218.87
912.15	217.68
912.87	223.17
910.40	221.21
910.63	216.27
909.23	215.84
905.22	214.72
903.41	212.01
901.11	213.42
898.76	215.15
902.24	215.79
897.96	217.80
897.66	215.58
897.24	214.78
900.59	209.23
905.92	210.90
913.37	205.35
914.92	206.60
915.52	202.17
915.00	203.30
913.52	200.81
911.53	200.64
913.45	201.04
906.98	201.24
901.20	203.25
903.94	200.86
904.41	200.93
905.03	199.37
903.51	203.13
896.20	207.13
898.46	203.61
898.78	207.85
897.51	207.04
900.44	207.66
902.35	210.54
907.47	213.84
907.61	214.62
904.88	213.57
905.47	217.62
900.79	217.45
899.85	213.81
905.87	209.29
910.71	212.74
909.34	209.61
904.71	211.04
898.39	205.45
899.17	203.12
893.56	209.42
893.81	209.33
899.70	207.07
904.13	206.19
906.19	203.76
905.66	200.39
904.38	203.34
908.98	204.28
905.78	203.26
898.61	199.69
899.94	197.81
903.25	196.69
899.18	190.02
901.20	195.69
910.95	193.87
907.52	193.24
903.04	193.46
906.85	190.89
905.46	192.04
911.75	184.85
917.29	185.74
910.83	190.54
912.82	189.16
916.67	191.81
914.51	192.34
917.15	193.37
919.40	193.61
916.91	194.00
914.06	193.56
916.11	188.83
912.07	187.92
916.65	187.35
915.34	187.12
914.97	185.13
920.23	185.27
920.87	183.51
917.96	178.25
914.67	180.33
916.82	173.53
914.80	168.16
908.73	164.52
904.65	163.12
906.50	163.85
906.77	160.43
908.34	164.96
912.05	158.93
910.63	158.00
909.58	158.57
904.46	155.30
895.91	160.65
898.32	168.51
900.02	171.29
898.13	172.66
900.74	168.18
904.58	166.37
903.88	165.34
902.08	163.40
908.78	160.56
904.43	164.98
906.50	157.24
904.21	156.85
897.22	158.91
900.88	164.08
897.95	166.85
898.57	169.65
903.37	164.17
903.41	163.95
905.66	159.19
906.29	155.91
906.37	155.39
906.88	153.56
905.13	148.76
