Object Tracking Data File Wed, Oct 15, 2025 11:45 AM
X (pixels)  	Y (pixels)  
741.57	414.37
738.00	414.53
732.76	417.16
734.76	423.27
736.52	421.16
742.96	417.34
748.60	417.45
750.17	409.89
746.72	407.23
740.13	407.40
731.48	409.28
730.91	410.52
731.95	410.76
732.79	411.47
734.46	407.52
733.71	409.59
735.32	404.50
731.17	408.57
734.64	399.87
733.26	398.35
732.86	393.96
734.53	403.15
728.71	398.38
732.05	395.15
730.88	390.27
730.83	391.19
734.10	383.84
733.94	386.39
735.72	387.46
733.61	386.56
726.55	391.10
725.56	389.03
728.48	387.34
737.15	385.58
738.09	387.23
740.58	388.58
741.07	383.26
741.24	381.22
745.88	379.15
742.55	380.20
748.82	385.44
747.29	385.95
748.64	386.59
743.08	383.39
735.15	391.20
736.79	389.74
737.98	396.50
745.27	399.62
742.92	401.80
742.59	392.48
743.77	391.10
754.42	392.97
753.17	398.14
745.81	397.17
753.58	399.41
755.87	407.81
751.35	409.67
751.23	416.88
753.89	416.39
756.57	417.72
755.07	424.64
755.54	427.53
754.54	421.28
749.61	427.22
749.88	431.98
751.67	437.85
752.33	440.73
749.28	439.17
749.18	442.24
748.43	443.01
746.03	445.05
744.83	443.10
749.32	435.60
750.41	437.08
755.95	438.60
763.41	443.29
765.21	451.40
765.20	446.35
765.66	447.00
762.15	451.01
760.79	453.87
763.55	448.65
761.60	439.53
761.26	435.80
757.33	430.68
755.49	433.93
756.03	433.67
756.75	429.41
754.53	428.74
758.25	427.64
751.92	426.98
750.59	419.93
748.44	419.54
751.04	417.72
745.49	415.69
744.62	412.90
744.10	416.69
737.65	415.37
735.06	415.93
732.68	416.10
730.07	417.22
731.27	417.83
735.04	413.83
732.35	414.61
729.95	412.88
732.06	413.87
728.47	414.73
729.45	416.70
728.04	420.68
724.95	422.52
728.60	424.64
727.43	424.99
731.36	428.28
729.00	433.55
727.42	437.92
727.78	438.17
727.46	443.28
731.74	441.50
736.01	441.15
728.41	439.51
