Object Tracking Data File Wed, Oct 15, 2025 11:16 AM
X (pixels)  	Y (pixels)  
840.84	431.79
878.71	441.93
850.05	442.84
786.41	421.66
827.45	489.69
793.71	478.02
819.40	402.84
867.18	449.88
850.76	444.68
844.97	433.29
829.53	440.05
791.76	478.65
849.64	439.57
795.02	484.41
850.49	424.77
819.37	403.00
787.92	475.90
764.25	501.80
792.91	480.89
792.66	526.01
866.78	450.86
867.48	450.76
879.44	462.21
851.43	447.48
844.29	430.41
853.56	463.23
801.19	472.76
867.52	450.71
865.43	458.71
867.22	450.55
879.98	463.76
809.14	519.43
845.98	453.50
881.04	466.21
841.94	471.83
851.92	422.53
847.81	473.72
826.95	441.06
787.05	503.39
838.68	431.66
827.53	458.15
846.89	433.92
853.13	463.60
848.08	450.85
828.33	459.05
785.68	483.43
786.26	524.93
788.16	523.94
784.85	517.07
826.87	459.56
847.35	435.63
826.80	436.25
853.71	442.42
791.11	479.77
853.40	445.38
851.11	447.29
873.23	468.79
870.67	451.73
851.07	446.93
850.81	446.50
819.96	403.40
849.71	451.46
844.93	433.10
850.86	464.76
792.00	500.31
867.36	449.48
866.48	452.05
812.51	459.78
847.97	439.37
853.11	455.45
826.80	461.05
863.17	455.93
845.81	434.45
848.75	423.90
851.37	444.21
818.82	403.34
836.12	437.25
846.76	431.22
834.16	426.92
844.36	432.90
848.78	423.85
842.07	432.65
818.71	404.32
827.37	436.78
828.98	435.37
846.57	432.39
840.87	434.41
839.84	431.70
832.56	469.16
819.40	401.36
841.20	433.18
819.95	402.44
832.97	459.05
835.80	420.20
848.91	424.05
831.90	423.15
833.24	461.96
825.00	462.42
824.45	428.06
827.43	463.43
834.17	466.26
843.31	427.19
832.16	464.01
830.31	435.27
819.54	403.13
819.45	403.05
833.83	460.85
849.79	423.35
846.65	439.97
825.31	468.25
844.98	433.62
843.81	431.74
840.49	432.62
826.86	465.63
826.29	467.34
847.16	432.11
827.81	466.66
828.55	466.38
851.68	407.39
820.39	403.35
