Object Tracking Data File Wed, Oct 15, 2025 11:46 AM
X (pixels)  	Y (pixels)  
443.57	619.00
442.71	609.67
440.92	606.61
436.07	603.45
431.69	603.58
430.46	603.69
432.96	598.85
433.31	599.33
434.88	601.86
434.56	602.48
434.47	598.03
429.79	598.35
428.30	596.02
428.23	600.55
425.53	599.83
426.66	606.83
426.62	600.76
428.63	598.41
423.59	599.30
426.06	602.53
423.18	600.68
428.85	603.47
427.21	605.82
425.94	605.32
430.67	603.44
427.00	601.51
423.76	603.39
425.11	606.20
425.90	603.54
425.76	601.69
427.70	604.45
423.86	604.56
424.68	600.52
429.21	602.21
428.10	597.43
430.95	596.63
430.75	593.26
433.04	586.51
434.13	580.76
432.23	582.45
431.16	584.09
436.55	588.00
435.38	588.40
437.09	587.05
433.16	590.37
430.49	590.79
429.00	590.62
432.98	591.64
431.61	595.23
430.61	598.04
434.30	595.41
432.74	598.30
435.37	596.05
437.61	593.43
439.32	595.70
438.55	596.74
443.65	600.91
442.61	600.92
442.39	599.83
440.38	601.33
436.66	603.57
435.76	600.16
439.55	597.58
440.61	599.10
440.16	604.93
442.30	602.85
444.90	602.66
447.11	608.86
440.93	613.05
440.08	614.94
444.23	620.41
446.70	622.00
442.34	621.82
447.90	626.42
445.57	624.11
447.65	627.16
446.18	622.32
451.11	626.94
445.12	627.86
446.46	631.96
444.84	631.39
440.14	634.73
440.16	634.80
438.76	628.22
440.12	625.76
439.34	624.98
438.41	622.89
436.76	627.46
433.79	631.24
431.41	636.48
437.00	635.98
439.65	636.68
436.79	634.73
430.76	633.04
430.66	638.08
423.26	636.76
422.85	638.95
420.18	643.82
418.18	643.95
414.80	641.78
418.64	644.69
416.97	650.26
412.48	652.06
409.26	648.58
410.75	648.94
407.21	651.68
407.07	653.60
411.20	660.56
410.48	670.58
409.50	673.55
410.40	679.21
405.06	676.19
401.83	672.00
404.19	670.83
399.30	666.39
399.49	664.86
400.03	661.87
402.73	665.80
394.36	663.20
395.93	663.25
