Object Tracking Data File Wed, Oct 15, 2025 11:46 AM
X (pixels)  	Y (pixels)  
1005.34	639.82
1007.63	640.33
1009.28	639.79
1007.00	638.60
1006.16	639.26
1005.02	635.94
1007.82	631.88
1009.63	634.86
1012.16	639.07
1008.34	636.71
1009.21	629.07
1004.35	622.71
1009.63	626.57
1011.26	621.68
1015.96	618.89
1013.96	623.67
1017.35	626.35
1024.75	631.94
1027.31	632.22
1026.99	626.63
1032.76	625.15
1038.16	620.73
1043.06	623.58
1042.10	618.47
1037.06	624.38
1035.77	627.83
1037.24	626.53
1038.62	626.71
1035.42	620.71
1033.67	617.50
1029.33	625.33
1023.65	628.07
1025.63	628.76
1028.82	619.46
1026.64	616.95
1027.58	621.51
1028.12	620.95
1024.04	622.35
1029.10	617.87
1030.79	610.90
1035.65	613.90
1034.59	618.36
1038.85	623.74
1039.18	625.66
1039.88	625.33
1038.66	627.20
1046.91	623.84
1042.01	626.29
1040.39	629.33
1036.85	628.78
1037.49	634.67
1034.63	632.90
1037.52	632.72
1041.88	632.60
1044.97	633.24
1040.28	631.83
1039.07	635.79
1034.05	638.25
1039.66	636.53
1038.36	644.39
1035.65	648.68
1038.46	654.45
1037.42	657.40
1037.40	652.43
1032.89	653.46
1038.81	652.40
1043.72	649.50
1047.31	645.94
1047.76	642.90
1047.74	639.51
1047.46	639.46
1043.10	633.99
1044.47	637.41
1043.20	633.94
1042.99	638.44
1049.42	640.51
1044.19	635.17
1041.26	636.43
1044.68	642.01
1042.93	643.14
1046.90	643.21
1043.01	641.34
1043.53	642.91
1046.47	640.65
1046.91	642.79
1046.17	638.06
1048.40	638.64
1043.13	639.27
1039.70	640.56
1033.15	639.56
1026.44	638.17
1027.58	646.15
1029.76	645.78
1028.86	645.82
1032.85	646.21
1035.75	640.21
1036.87	635.41
1035.88	632.41
1042.08	630.98
1033.57	630.05
1032.01	630.42
1029.59	635.56
1027.00	636.39
1025.95	634.45
1023.86	634.36
1023.91	638.24
1020.41	638.69
1022.08	636.78
1019.40	637.51
1021.43	639.18
1025.34	641.15
1023.80	641.91
1027.42	642.65
1018.91	640.16
1014.07	636.80
1011.22	625.22
1011.99	625.01
1011.12	629.15
1010.15	629.60
1010.22	630.33
