Object Tracking Data File Wed, Oct 15, 2025 11:28 AM
X (pixels)  	Y (pixels)  
796.29	611.68
795.42	608.87
792.04	601.68
792.75	603.22
793.12	603.34
791.17	599.66
791.05	601.28
791.71	599.38
790.86	596.42
790.19	595.05
787.61	595.43
787.16	598.53
781.95	599.03
781.56	598.30
784.60	602.92
786.10	603.67
790.73	594.37
790.28	588.42
792.55	589.22
789.44	583.89
792.63	590.98
792.20	586.23
798.63	582.35
804.88	576.03
804.12	577.46
798.06	576.46
796.09	570.68
796.70	569.95
797.78	569.37
797.86	566.96
797.94	562.37
799.49	560.57
797.90	564.94
800.46	561.73
800.86	566.58
800.28	569.97
802.57	567.23
802.95	566.15
804.19	561.82
812.32	563.05
810.59	560.53
806.68	559.30
810.10	557.03
814.12	552.32
811.13	558.56
811.43	554.32
816.10	554.42
815.46	553.92
817.76	552.05
817.78	553.62
814.99	558.76
820.50	557.28
822.65	558.57
821.76	560.03
830.68	561.75
833.66	559.75
830.64	556.65
827.49	561.37
826.81	565.56
826.60	566.82
832.51	566.22
834.55	565.39
835.52	568.58
835.31	570.95
838.15	574.74
842.12	573.67
842.84	574.63
841.89	574.95
840.71	575.75
840.42	571.56
840.03	574.43
841.59	573.30
838.02	575.29
834.51	576.08
833.30	580.99
834.95	586.34
833.14	593.11
833.75	596.58
830.82	593.43
829.54	596.90
830.55	596.55
830.35	594.75
829.47	589.89
827.90	585.67
828.67	589.70
828.74	585.13
824.89	585.32
826.12	586.71
828.49	592.76
825.95	589.82
823.01	587.52
828.84	588.35
833.66	591.20
836.16	584.87
841.64	586.53
841.79	584.66
840.48	590.48
838.22	587.42
831.83	590.08
836.60	591.05
837.26	591.52
839.26	592.35
839.07	595.37
835.18	592.80
834.53	592.60
834.94	593.37
837.76	592.98
833.44	596.51
832.24	601.13
838.31	601.42
838.55	593.65
838.17	595.67
844.95	591.98
845.24	590.89
849.09	590.06
845.02	591.16
848.35	591.88
850.12	591.11
851.48	590.14
857.11	594.73
