Object Tracking Data File Wed, Oct 15, 2025 11:39 AM
X (pixels)  	Y (pixels)  
888.81	318.41
890.29	315.02
892.96	320.97
891.26	321.30
889.28	321.91
884.48	317.21
889.02	315.21
886.52	314.68
889.34	310.90
894.31	318.42
895.63	319.37
895.68	320.97
900.44	323.82
906.10	327.25
907.97	329.60
906.99	333.09
902.77	339.67
900.61	338.78
904.71	338.41
905.91	336.89
908.58	337.66
908.15	335.55
906.54	336.42
903.13	341.64
898.32	342.77
900.56	340.22
902.74	347.12
899.62	352.13
902.70	355.97
903.94	349.35
906.45	353.39
902.13	355.75
903.52	356.70
905.13	358.74
907.28	355.75
900.93	352.59
903.31	353.11
907.75	348.71
906.28	349.21
910.24	345.92
916.46	346.95
917.18	345.67
922.74	344.18
926.85	340.94
927.89	343.16
928.79	343.30
926.54	340.22
927.09	338.06
928.38	338.96
925.31	340.31
929.03	337.44
929.18	342.03
929.31	338.11
930.35	336.19
931.61	334.12
926.30	332.13
926.33	333.44
929.57	337.13
921.40	343.14
922.75	337.89
928.65	338.38
936.33	338.73
934.01	342.43
933.48	344.64
927.44	347.54
926.46	347.26
923.69	345.27
924.29	343.18
923.32	343.86
926.58	346.54
922.96	348.16
921.48	353.04
921.08	356.80
920.62	353.50
914.59	353.27
913.45	355.40
915.63	354.23
918.56	349.96
925.19	347.74
927.70	349.00
925.94	348.30
924.51	345.29
924.68	343.34
918.05	341.22
919.06	340.08
917.78	343.10
917.58	343.59
915.81	349.36
916.18	353.74
914.54	348.99
913.85	355.08
915.92	358.06
911.57	360.01
908.81	364.58
913.18	369.40
914.22	366.74
909.36	367.38
910.57	365.66
910.24	362.45
914.08	358.84
916.80	359.58
912.71	360.48
911.15	363.65
916.68	355.18
918.74	349.44
919.54	358.69
918.33	355.84
916.53	359.10
914.63	360.90
908.35	361.53
900.42	368.14
903.60	372.67
904.70	371.95
902.86	374.01
907.68	379.53
905.51	375.08
913.53	375.75
916.47	380.22
921.96	374.94
926.55	370.86
