Object Tracking Data File Wed, Oct 15, 2025 11:22 AM
X (pixels)  	Y (pixels)  
1204.71	408.80
1201.83	409.16
1200.33	409.00
1199.44	409.07
1198.55	408.72
1198.75	409.01
1198.75	409.06
1198.55	408.68
1198.53	408.75
1198.43	408.71
1197.55	408.71
1197.61	408.70
1197.62	408.92
1197.74	409.11
1197.58	408.89
1197.54	408.69
1197.73	409.07
1197.53	408.57
1197.58	408.91
1197.47	408.93
1196.76	409.11
1196.91	409.04
1196.67	408.68
1196.72	408.91
1196.63	408.67
1196.99	409.10
1196.64	408.68
1196.66	408.56
1196.72	408.77
1196.55	408.76
1196.72	408.96
1196.52	408.77
1196.81	409.07
1196.59	408.75
1196.60	408.76
1196.73	408.76
1196.66	408.75
1196.58	408.66
1196.65	408.74
1196.53	408.67
1196.41	408.67
1195.57	408.79
1195.63	408.65
1195.65	408.72
1195.59	408.65
1195.72	408.82
1195.70	409.00
1195.78	408.86
1195.53	408.59
1195.66	408.80
1195.79	408.97
1195.54	408.89
1195.88	409.10
1195.71	408.90
1195.66	408.87
1195.68	408.87
1195.54	408.87
1195.43	408.74
1194.51	408.59
1194.51	408.56
1194.66	408.51
1194.67	408.74
1194.67	408.68
1194.57	408.65
1194.68	408.64
1194.60	408.72
1194.48	408.60
1193.55	408.68
1193.59	408.68
1193.40	408.82
1192.74	408.87
1192.86	408.99
1192.83	408.82
1192.81	409.02
1192.66	408.84
1192.84	409.04
1192.60	408.87
1192.82	408.96
1192.68	408.85
1192.90	408.85
1192.65	408.66
1192.80	408.96
1192.73	408.87
1192.58	408.93
1192.71	408.94
1192.62	408.77
1192.93	408.99
1192.75	408.85
1192.82	409.15
1192.99	409.20
1192.85	408.94
1192.92	409.11
1193.03	409.07
1192.73	408.86
1192.94	409.10
1192.90	408.92
1192.76	408.96
1192.65	408.88
1193.00	408.91
1192.68	408.97
1192.76	409.04
1192.78	408.61
1192.59	408.83
1192.66	408.92
1192.61	408.79
1192.78	408.97
1192.88	409.01
1192.86	408.93
1192.65	408.77
1192.76	409.10
1192.92	409.04
1192.83	409.22
1192.93	408.85
1192.88	409.05
1192.75	408.71
1192.71	409.08
1192.67	409.01
1192.62	408.81
1192.67	408.91
1192.85	408.88
