Object Tracking Data File Wed, Oct 15, 2025 11:44 AM
X (pixels)  	Y (pixels)  
381.65	174.56
380.60	179.50
376.23	183.92
371.29	186.14
376.70	179.25
375.01	180.78
373.96	182.85
372.52	185.18
370.44	183.99
371.03	185.53
365.63	185.90
366.23	190.41
363.86	195.21
360.92	199.31
360.27	197.04
359.64	195.43
357.09	196.08
356.77	194.07
363.16	188.05
366.13	182.24
364.00	181.38
368.82	182.42
369.36	187.21
369.66	187.64
368.86	183.79
369.18	182.24
378.21	179.19
381.44	177.56
380.57	174.79
383.21	170.25
379.67	170.87
381.01	168.89
384.53	168.08
384.96	163.42
387.52	161.83
390.60	158.74
390.69	161.50
393.12	157.90
386.22	161.28
385.19	160.16
391.62	158.07
393.74	156.95
394.30	157.59
395.23	156.22
399.63	156.74
396.59	155.63
399.76	155.29
405.18	155.29
406.20	153.35
403.39	155.64
409.09	158.18
410.93	153.85
410.55	157.83
407.66	157.74
410.57	159.77
410.77	160.30
412.92	159.30
417.72	153.82
421.03	148.53
425.29	150.54
422.34	148.66
422.90	149.67
424.15	153.38
424.62	161.35
417.58	165.78
420.67	158.86
426.05	161.49
426.55	158.48
424.41	154.50
421.05	157.05
421.46	156.08
421.48	149.41
425.13	152.24
427.85	154.87
428.20	152.57
424.56	152.32
425.63	148.08
425.38	150.88
418.91	151.04
424.39	154.13
427.96	157.74
429.89	155.52
429.73	152.69
424.58	152.72
424.27	159.00
424.86	164.17
421.93	164.49
417.44	160.77
415.24	162.13
418.66	163.14
411.48	161.43
410.67	168.37
413.44	172.38
412.86	168.50
418.06	174.93
422.05	171.87
421.95	173.19
419.07	176.35
417.10	174.95
416.73	171.72
413.67	179.39
416.67	182.13
413.34	185.95
410.02	186.06
408.65	182.47
405.21	180.26
405.05	181.42
410.34	177.21
409.85	185.48
409.48	183.20
409.60	183.35
407.81	183.74
406.39	178.54
401.66	179.97
405.26	179.49
404.67	186.31
397.78	181.98
393.26	179.49
394.99	182.42
392.98	181.29
