Object Tracking Data File Wed, Oct 15, 2025 11:11 AM
X (pixels)  	Y (pixels)  
700.70	87.17
692.24	11.46
682.74	25.75
609.50	7.18
571.09	12.38
552.74	14.20
546.86	12.12
472.30	6.82
399.63	3.81
370.03	21.19
358.08	18.13
344.31	21.76
334.50	22.51
306.55	28.70
310.82	18.94
306.65	28.06
232.51	3.73
201.56	2.29
132.65	2.83
97.51	2.98
65.80	2.05
90.66	2.77
20.58	15.07
9.03	24.86
6.25	21.08
32.45	2.96
20.30	3.45
89.54	2.93
100.12	2.70
90.28	2.63
74.59	3.08
85.90	2.14
9.90	15.26
20.88	3.39
4.53	15.78
29.11	3.21
83.61	2.49
31.43	2.25
94.35	3.87
43.77	1.70
105.36	3.03
62.07	3.54
33.55	3.45
33.99	3.12
84.07	3.83
21.84	3.63
91.70	2.58
32.41	2.79
30.25	3.15
26.76	3.42
22.27	3.48
93.85	2.62
28.24	3.17
32.56	2.72
103.66	2.98
33.62	2.76
17.17	3.53
10.47	20.80
3.84	31.52
63.33	4.36
17.60	3.69
89.70	2.86
64.44	3.05
75.09	2.63
88.64	2.38
17.19	3.54
89.65	2.94
18.66	3.47
23.11	2.93
90.52	3.12
113.76	1.98
63.91	2.92
87.56	2.23
113.34	2.64
108.88	2.11
83.88	3.59
138.10	3.54
88.72	3.57
109.41	3.17
100.59	2.40
104.78	2.43
89.89	3.16
24.55	3.00
7.05	18.02
16.81	3.33
10.70	25.66
24.53	3.54
14.00	19.12
5.40	38.58
13.55	3.99
19.86	3.96
6.13	24.22
9.58	17.51
10.60	17.15
13.94	5.28
16.87	3.10
21.76	3.73
8.48	18.13
33.82	2.31
90.82	1.41
27.65	3.51
3.62	26.28
25.30	4.64
98.02	2.74
23.41	3.59
21.42	3.12
23.49	3.23
21.70	3.81
88.49	3.43
88.24	3.32
100.71	3.64
96.64	3.26
24.65	3.47
93.41	2.38
28.72	3.36
10.37	17.38
36.54	3.00
29.15	3.05
103.78	3.20
116.62	2.09
