Object Tracking Data File Wed, Oct 15, 2025 11:35 AM
X (pixels)  	Y (pixels)  
656.15	523.14
657.08	522.32
658.86	522.21
656.26	523.25
651.64	527.64
652.64	528.57
654.00	529.70
652.00	527.53
647.64	525.07
651.17	525.80
656.80	528.16
658.85	526.72
651.77	529.19
654.65	525.99
647.87	526.05
651.00	526.29
646.63	527.45
643.05	523.96
642.58	528.13
640.56	528.99
638.38	524.58
640.64	526.56
645.89	526.31
646.82	523.81
647.19	529.06
652.94	528.44
650.59	529.85
647.93	528.58
642.98	528.03
649.78	528.67
647.37	528.31
644.81	524.22
644.08	524.37
646.21	523.08
648.80	518.98
645.25	515.39
644.08	516.26
645.41	518.02
642.51	517.28
641.02	515.59
639.36	513.54
638.19	509.06
632.50	505.54
633.58	506.86
633.80	509.46
634.47	512.30
636.07	515.48
639.39	513.82
639.82	517.21
636.78	510.79
634.44	513.16
643.74	515.41
643.30	515.57
643.88	515.90
646.40	519.72
646.15	514.40
642.12	511.74
638.06	512.04
633.96	514.95
632.17	515.28
630.06	515.83
628.70	516.47
625.00	512.16
624.04	516.94
621.56	520.06
619.40	519.72
618.63	523.77
623.15	522.81
626.79	522.64
623.75	520.29
623.19	518.33
624.91	524.51
621.80	527.61
623.38	529.76
631.36	531.41
632.11	531.22
633.86	530.76
638.58	531.34
630.93	535.37
634.30	534.93
630.38	535.90
639.65	531.39
638.48	531.23
638.41	528.20
639.00	532.61
638.38	540.44
634.02	539.65
633.92	543.11
633.12	541.98
627.80	543.33
627.06	545.41
630.89	543.21
635.22	539.59
636.07	539.29
636.34	538.94
636.62	539.56
639.53	542.37
640.66	547.76
642.17	554.09
643.01	555.29
645.45	555.43
649.38	552.37
647.61	551.14
644.87	556.32
642.62	560.28
636.37	558.85
640.73	556.92
644.10	557.04
643.87	561.82
642.17	563.43
645.78	563.56
649.53	564.10
655.63	570.14
656.23	566.43
654.65	564.35
656.44	566.10
654.84	563.18
658.89	563.33
653.95	561.39
654.05	566.48
