Object Tracking Data File Wed, Oct 15, 2025 11:28 AM
X (pixels)  	Y (pixels)  
777.56	128.49
779.98	124.68
778.52	122.89
780.17	118.71
782.52	117.94
786.72	123.04
783.23	122.18
780.35	124.09
780.41	124.99
783.86	123.29
783.44	125.51
785.04	123.15
785.49	124.71
775.21	114.67
776.92	116.73
777.01	117.82
776.47	117.76
776.96	112.83
775.90	109.22
781.45	113.50
780.95	112.45
778.06	114.75
775.21	121.07
776.21	120.82
776.86	120.31
778.03	123.86
783.65	125.14
782.29	124.46
784.27	122.77
787.98	121.06
784.57	122.99
782.64	123.95
783.22	124.11
779.97	120.96
777.59	125.39
779.87	126.24
780.91	131.27
782.17	131.13
781.31	129.79
776.50	128.54
777.74	128.37
776.27	124.64
772.32	123.53
767.59	118.83
766.15	114.97
764.59	114.30
765.77	114.57
769.03	118.63
769.39	119.10
765.73	120.94
766.75	117.02
761.78	115.07
762.74	123.41
762.96	124.31
764.86	128.89
763.65	127.15
768.62	125.79
768.30	125.90
769.60	130.29
773.09	131.43
772.26	133.98
771.34	129.87
775.51	128.11
774.12	124.68
770.96	119.59
770.99	121.86
768.40	122.65
771.59	127.54
774.89	124.09
768.64	123.38
766.26	121.80
766.40	118.09
762.17	118.81
763.47	122.92
761.31	122.64
761.58	127.45
762.85	124.72
759.71	123.40
760.63	119.57
759.79	124.05
756.09	123.60
752.11	124.50
752.75	123.10
753.02	125.02
751.89	126.27
753.94	130.64
749.28	133.69
745.30	129.12
744.02	129.39
741.18	131.47
742.59	129.55
739.69	130.02
738.34	125.07
734.37	124.52
733.58	125.65
736.67	124.67
739.72	128.46
744.01	128.70
741.93	122.90
745.77	122.66
744.45	120.33
752.39	121.41
755.40	116.85
755.68	118.95
750.90	114.05
752.67	116.39
755.44	110.66
751.77	115.24
751.08	119.41
748.60	118.99
746.75	115.08
742.38	118.59
742.25	115.56
740.75	109.30
743.85	104.96
742.41	112.14
741.65	114.54
741.39	114.16
742.00	116.35
748.44	118.55
