Object Tracking Data File Wed, Oct 15, 2025 11:21 AM
X (pixels)  	Y (pixels)  
86.93	160.42
71.41	167.82
68.03	167.73
68.26	172.54
68.61	170.50
11.48	131.89
18.78	101.29
12.62	41.21
20.90	71.05
15.38	30.60
12.20	58.11
29.89	64.96
18.82	79.93
14.98	77.60
14.29	38.83
12.52	43.86
16.12	56.81
19.83	78.58
36.51	93.74
45.99	122.35
57.55	146.42
13.62	102.34
18.40	74.89
37.24	89.14
47.82	116.41
58.70	135.94
65.76	150.93
65.92	156.19
67.92	158.64
71.17	158.04
69.20	158.85
70.72	156.51
66.89	157.37
66.03	161.72
63.88	167.00
66.23	162.48
65.41	161.32
65.75	159.84
66.04	160.78
63.68	165.66
65.05	163.43
61.28	166.65
59.82	170.31
62.02	170.92
58.85	169.03
62.70	172.85
63.28	171.09
62.58	173.27
65.92	174.30
67.25	169.15
65.97	169.51
63.04	171.12
63.08	171.19
65.65	173.96
65.71	174.49
66.22	174.87
65.74	171.84
67.23	171.91
65.03	171.91
64.51	170.71
63.60	168.25
68.13	170.73
67.43	168.29
66.25	172.71
66.78	172.08
65.62	171.56
63.53	170.63
65.52	172.71
64.20	174.51
63.77	171.93
67.42	176.43
67.12	176.11
64.25	173.68
62.49	173.75
63.21	175.13
67.44	173.71
67.22	174.35
66.13	173.82
65.56	172.60
65.68	173.33
64.46	169.97
65.48	168.99
65.33	166.60
62.95	164.39
61.30	166.02
59.93	165.05
59.81	165.99
62.73	165.59
61.84	166.99
61.95	167.53
63.83	170.43
62.59	170.00
61.16	170.24
61.16	173.41
62.00	175.58
63.71	174.35
66.81	177.49
62.92	174.86
61.63	174.89
61.61	173.23
58.61	170.63
62.26	174.65
61.29	177.08
63.97	177.64
62.96	180.24
65.07	179.38
57.57	178.19
55.85	176.55
57.58	177.04
55.05	174.83
55.34	176.49
56.25	176.19
59.83	178.86
55.68	180.98
55.03	178.58
56.02	177.18
55.94	178.31
54.88	177.52
55.41	180.78
55.01	178.21
