Object Tracking Data File Wed, Oct 15, 2025 11:14 AM
X (pixels)  	Y (pixels)  
483.15	470.09
483.97	477.20
486.73	476.81
486.72	473.76
492.71	474.31
493.81	473.81
496.61	473.66
498.25	477.69
492.02	471.70
489.36	475.09
485.98	476.23
487.61	478.92
483.65	471.42
488.60	470.58
488.36	470.98
486.78	474.57
491.71	468.74
488.67	469.24
494.89	463.30
497.56	461.46
490.65	456.18
484.24	454.20
484.85	453.23
487.96	452.85
486.01	455.59
487.43	455.67
482.88	452.49
489.43	455.64
482.64	456.52
481.69	449.50
480.76	447.71
486.12	446.17
484.07	444.21
485.08	439.88
484.33	432.81
488.27	426.34
496.70	427.29
495.25	432.02
499.56	436.25
502.27	433.86
497.60	426.32
499.94	430.80
501.05	430.05
507.54	422.61
507.54	426.06
500.57	420.70
501.37	417.38
506.73	420.00
510.01	417.21
503.85	419.39
503.49	417.86
508.18	420.28
500.77	419.15
498.51	421.85
498.80	424.37
497.81	424.40
502.03	427.57
505.29	423.68
507.92	425.97
510.11	426.86
513.25	430.43
511.12	429.65
514.06	432.07
511.18	430.84
514.66	428.77
514.19	428.40
514.59	429.88
516.73	432.34
518.24	430.25
520.49	432.57
518.44	430.55
521.86	427.70
523.37	430.45
521.47	430.84
515.47	430.83
514.60	427.99
511.69	423.33
515.73	427.65
521.46	423.44
518.24	418.72
517.78	412.98
521.83	414.11
523.16	416.80
525.72	419.08
0.00	0.00
571.37	375.53
546.90	402.97
561.35	402.84
560.41	393.85
565.28	394.54
569.66	401.74
575.18	397.93
572.00	394.21
571.33	392.07
572.17	389.86
571.11	391.36
567.40	392.95
567.24	398.00
577.01	389.36
574.97	380.50
575.18	376.85
574.73	377.32
576.15	375.94
570.71	374.28
572.84	378.23
571.54	376.81
568.76	373.52
567.55	371.47
563.36	363.14
559.23	357.44
551.45	369.19
560.53	360.86
568.05	363.71
568.88	359.06
569.89	351.83
559.14	349.98
560.55	324.36
560.15	337.70
558.97	338.24
558.11	335.85
