Object Tracking Data File Wed, Oct 15, 2025 11:40 AM
X (pixels)  	Y (pixels)  
601.73	109.89
604.76	107.55
604.35	111.51
606.88	115.67
604.72	110.83
666.24	32.20
669.05	25.63
675.31	30.12
679.69	26.87
682.46	26.14
676.57	30.80
678.36	26.39
673.85	27.00
671.91	20.66
669.82	23.63
667.69	21.63
665.11	20.12
669.72	13.71
677.70	13.98
672.23	12.58
677.38	13.07
677.09	12.29
675.65	19.75
676.51	24.61
675.15	25.00
674.62	23.34
670.54	16.60
675.82	23.94
682.97	22.38
681.67	19.89
677.73	19.59
674.97	22.52
679.11	22.16
673.21	21.47
670.39	18.74
665.18	18.45
659.23	21.14
656.74	22.64
659.03	32.47
660.03	30.96
664.28	29.12
666.61	30.64
669.52	31.83
674.10	33.10
669.51	40.78
670.39	36.22
670.21	40.69
674.64	38.63
665.60	40.93
663.94	46.35
662.46	43.40
659.85	48.95
663.50	46.57
658.11	49.90
658.37	53.14
664.74	47.41
668.76	46.84
670.14	45.28
671.59	43.96
677.18	36.82
676.99	35.38
674.82	34.62
671.18	42.74
667.26	43.62
665.65	49.49
665.67	53.20
661.06	52.50
660.81	54.05
656.15	57.14
658.85	60.05
654.92	63.11
659.70	68.90
656.69	68.57
653.41	63.94
650.66	71.67
644.65	71.99
643.74	68.13
642.80	72.40
638.56	70.16
635.64	73.20
634.97	71.48
631.93	74.77
634.64	74.18
633.41	73.10
635.33	68.29
630.90	69.02
628.69	71.31
621.62	70.18
627.88	65.30
628.53	63.83
629.30	63.06
636.13	66.63
638.04	70.17
643.23	66.27
642.82	68.64
649.42	68.57
652.12	68.99
647.02	64.53
642.76	64.08
633.36	64.11
631.45	61.42
632.38	64.69
633.59	58.68
635.40	54.37
632.62	57.84
636.52	56.88
633.92	56.88
630.96	60.48
627.80	59.30
633.96	56.27
633.27	46.94
633.13	51.66
633.08	47.32
634.34	42.39
634.73	40.45
634.48	43.40
631.66	42.58
627.55	40.26
632.82	35.40
636.32	34.60
