Object Tracking Data File Wed, Oct 15, 2025 11:23 AM
X (pixels)  	Y (pixels)  
112.29	553.36
111.16	552.52
110.35	552.46
109.10	551.32
108.22	550.55
107.57	550.16
107.28	549.32
106.33	548.42
105.19	547.76
104.27	547.69
103.40	547.51
102.39	547.66
101.36	547.60
100.68	547.62
100.66	547.75
100.63	547.67
100.86	547.85
100.71	547.49
100.84	546.80
100.58	546.56
100.48	546.59
99.58	546.80
99.66	546.78
99.45	546.83
98.51	546.96
98.71	546.52
98.50	546.73
97.57	546.68
97.61	546.69
97.69	546.79
97.57	546.76
97.61	546.79
97.79	546.77
97.75	546.85
97.71	546.70
97.59	546.84
97.53	546.64
97.69	546.82
97.69	546.92
97.62	546.90
97.56	546.78
97.50	546.74
96.91	546.99
96.88	546.99
96.53	546.59
96.73	546.60
96.77	546.63
96.66	546.77
96.69	546.67
96.67	546.58
96.57	546.63
96.86	547.27
96.68	546.98
96.64	546.96
96.53	546.89
96.58	546.85
96.73	547.12
96.62	546.99
96.83	546.99
96.66	546.75
96.55	546.61
96.72	546.78
96.65	546.85
96.58	546.67
96.77	546.96
96.69	546.63
96.89	546.72
96.63	546.75
96.63	546.72
96.81	547.05
96.73	546.63
96.78	546.92
96.73	546.92
96.61	546.75
96.59	546.68
96.82	546.94
96.82	547.00
96.92	547.10
96.70	546.75
96.73	546.95
97.13	547.22
96.72	546.71
96.69	546.81
96.90	546.88
96.82	546.75
96.60	546.66
96.87	546.75
96.54	546.74
96.65	546.89
96.67	546.93
96.90	546.98
96.70	546.80
96.95	547.17
96.66	546.96
96.84	546.93
96.77	546.84
96.64	546.76
96.68	546.87
96.79	547.04
96.82	547.04
96.58	547.05
96.89	547.44
96.82	547.06
96.79	547.04
96.84	546.92
96.64	546.74
96.63	546.89
96.59	546.78
96.87	546.86
96.75	546.77
96.61	546.97
96.74	547.09
96.77	546.84
96.83	546.51
96.89	547.30
96.65	546.91
96.54	547.00
96.52	546.89
96.86	547.18
96.83	546.99
